airline_sentiment_Index,features,rawPrediction,probability,prediction
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[38,216,297,316,320,330,487,873],""values"":[1,1,2,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5613979668961093,-0.4816778969865081,-0.07972006990960068]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5321774736896107,0.18752293669873352,0.2802995896116558]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[197,392,407,490,524,560,682,687,840,901,902],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.8563698389242633,-0.12196518542775736,0.9783350243520204]}","{""vectorType"":""dense"",""length"":3,""values"":[0.10698017707124842,0.22297244744738776,0.6700473754813638]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,46,71,77,178,398,451,533,604,736,805,858,924,981],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8130891704074259,-0.12331740421051518,-0.6897717661969107]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6193765396498188,0.2428166947953631,0.13780676555481813]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,330,343,534,653,691,958],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.5730409499628739,0.8334091495127827,-0.2603681995499087]}","{""vectorType"":""dense"",""length"":3,""values"":[0.15507446213702591,0.6329272596799828,0.21199827818299144]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[44,92,122,152,309,330,403,528,596,958,964],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3811639141192328,-0.5324740540643157,0.15131013994508274]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4554330715583544,0.1826571327074507,0.36190979573419485]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[110,188,216,330,334,386,389,426,553,602,649,671,815,928,963],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.5680592494383396,-0.9605377111190273,-1.6075215383193122]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9572013040116518,0.028090087547640325,0.014708608440707937]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[62,143,339,394,475,484,495,908,982],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3558275353426936,-0.29784371802635534,-1.0579838173163383]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7807499749442324,0.14939349197947513,0.0698565330762926]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[146,202,330,487,566,602,635,658,674,736,802],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.4610657116630252,-0.7839375077046175,-0.6771282039584083]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8171305010048294,0.08655634547849797,0.0963131535166725]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,389,411,433,526,536,537,560,801,892],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9490555436842343,0.4365911601231667,-1.3856467038074005]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5896724084263424,0.3532241210108144,0.05710347056284326]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[82,242,330,372,413,515,687,792,798,822],""values"":[1,1,1,2,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.8893339702545919,-1.2345770503920819,2.1239110206466747]}","{""vectorType"":""dense"",""length"":3,""values"":[0.04532806469728928,0.032094455528988194,0.9225774797737225]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,110,146,150,330,388,389,411,450,566,807,892,958],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.726418566238916,-1.6619249927698347,-1.0644935734690797]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9661870398771323,0.012001286825805214,0.021811673297062645]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,426,477,488,566,602,723,780,892,958],""values"":[1,1,1,1,1,2,1,1,2,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.267323296749735,-1.4788790393087203,-0.7884442574410144]}","{""vectorType"":""dense"",""length"":3,""values"":[0.933973845756147,0.022048533668259065,0.043977620575593894]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,127,157,297,322,349,378,417,781,802,825,863],""values"":[1,1,1,1,1,1,2,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.5301183239590086,-0.8689459830870786,-0.6611723408719303]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8315487797961192,0.07550702170789932,0.09294419849598153]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[372,392,409,417,454,736,782],""values"":[1,1,1,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3050073513657903,-0.12470144724013832,-1.1803059041256523]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7560418655333039,0.18098025804271398,0.06297787642398221]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[79,87,160,177,193,262,365,394,505,510,602,678,712,728,736,936],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[3.5495650831276184,-1.061266995271724,-2.488298087855894]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9878199875238332,0.00982242860478272,0.002357583871384121]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[105,156,175,385,459,736,854,958],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-1.1668427370174246,-0.06587857274646203,1.232721309763886]}","{""vectorType"":""dense"",""length"":3,""values"":[0.06655381017691953,0.20013156200672486,0.7333146278163555]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[88,90,92,115,330,355,415,453,525,692,736,939,959],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5146053896360316,-0.03918095030327079,-0.4754244393327616]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5137861620088863,0.29530857061112964,0.19090526737998403]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[198,311,359,393,403,413,532,715,740],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.537634630908864,0.8004115631659772,-1.3380461940748412]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4075333064225589,0.5300119720954155,0.06245472148202557]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,39,41,86,157,338,628,712,736,925,928],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1402361921329038,-0.24305244365574985,-0.8971837484771539]}","{""vectorType"":""dense"",""length"":3,""values"":[0.724051520742785,0.1815577736748007,0.09439070558241423]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[40,48,178,330,404,413,442,543,697,806,939,963,980],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9055335093673202,-0.923754906935696,0.018221397568375985]}","{""vectorType"":""dense"",""length"":3,""values"":[0.63601547383375,0.10209813684492515,0.2618863893213248]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,65,144,232,439,447,495,702,904,948,952,980],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.692538966131431,0.47762668995260327,0.2149122761788283]}","{""vectorType"":""dense"",""length"":3,""values"":[0.1492420351095282,0.48093640192437487,0.36982156296609686]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[46,158,330,335,433,661,752],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.822030216702887,0.6434012274946844,-1.4654314441975713]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5160118480984016,0.4316006491513952,0.0523875027502032]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[147,228,238,244,267,426,560,562,699,796,948,993],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.611177555364661,0.06483476826862022,-1.676012323633281]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7997541136981292,0.17036812472949833,0.029877761572372322]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[9,10,61,320,351,371,417,634,736,808,922],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0446813671067998,-1.0789211747142278,0.03423980760742745]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6740096975605242,0.08061155141598579,0.24537875102348994]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[46,330,352,619,920,944],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.3436916894709619,0.3877192418350661,-0.04402755236410366]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2258653813072385,0.4693506272341616,0.3047839914586]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,57,61,423,429,430,482,487,736],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.9890528095671371,-1.0322703877667716,-0.956782421800366]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9080220592445034,0.04425398727457309,0.04772395348092359]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[16,37,330,345,354,691,736,826],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2801042315351234,-0.3344971928009375,-0.945607038734186]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7651340414348032,0.15223868902370924,0.08262726954148758]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,191,261,584,602,619,736,798,802,842,858,892,925],""values"":[1,1,1,1,1,1,1,1,1,1,1,2,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.5046184158864753,-0.7044676473370145,-1.8001507685494604]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9488588645092634,0.038327743376639904,0.012813392114096668]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[66,117,126,356,560,621,648,885,930],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9508715719448659,-0.3565003783166031,-0.5943711936282627]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6739497349237653,0.1823236821113607,0.14372658296487406]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[446,736,820],""values"":[1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.21183969041145873,0.437791790625704,-0.6496314810371631]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3736843112435156,0.4684191213581781,0.15789656739830638]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,34,39,233,249,287,372,401,451,468,509,511,632,669,679,736,993],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.134414565688537,-1.565369588685377,-0.5690449770031611]}","{""vectorType"":""dense"",""length"":3,""values"":[0.916000653749978,0.02265165514289717,0.06134769110712502]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[86,150,159,276,302,330,389,413,460,463,493,736,806,819,927],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.7389862282228536,-2.3109232302605895,-0.42806299796226444]}","{""vectorType"":""dense"",""length"":3,""values"":[0.953709207857095,0.00611319379670201,0.04017759834620294]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,29,195,387,446,466,467,537,619,736,882,892,958,980],""values"":[1,1,1,1,1,1,1,1,1,1,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.5338784927364721,0.16408697800106944,-1.697965470737542]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7730098562193823,0.19646814071099988,0.030522003069617793]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,373,385,488,736,862,968],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6086420760660136,0.26057994463988265,-0.8692220207058966]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5170151156519771,0.36504111091829194,0.11794377342973078]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[71,79,87,120,170,306,366,387,423,524,560,664,693,855,910],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.370388182301225,-0.5939536861086934,-0.7764344961925312]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7954797581955061,0.1115645708071249,0.09295567099736912]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[372,429,460,472,560,687,712,741,877,980],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1076399726921837,-1.0519134729724247,-0.055726499719759126]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7003736697187174,0.08080675478319085,0.21881957549809172]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[66,102,273,297,458,488,523,542,809,815,890],""values"":[1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3262896631921218,-0.6766946364642153,0.35040497327209336]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4182015270972069,0.1533893007221904,0.42840917218060265]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,172,278,298,430,431,445,502,515,560,703,827,871,950],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.648427857840043,-0.90148551819979,-0.7469423396402533]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8552656492477664,0.06678635181453729,0.07794799893769623]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,184,267,297,492,626,627,648,678,914],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1340385079340973,0.4374505912160097,-1.5714890991501065]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6389296078354904,0.31836749866712993,0.04270289349737987]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,69,188,224,406,515,560,593,644,678,915,979,994],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.8905462027351208,0.14747931504926592,-2.0380255177843862]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8370619748907481,0.1464715518296379,0.016466473279614015]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,449,507,736,741,796],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2862463607254533,-0.34268149678141824,-0.9435648639440355]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7670544104925432,0.15044986122990608,0.08249572827755058]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[157,161,201,297,313,406,660,830,874,944],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5077317650611829,-0.7716369963009689,0.2639052312397861]}","{""vectorType"":""dense"",""length"":3,""values"":[0.48500452852354187,0.13493449880999314,0.38006097266646494]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[22,29,175,221,238,365,433,451,600,661,708,736,892,993],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6837833965123739,-0.3569533209559711,-1.3268300755564029]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8480365912581485,0.11018789748042757,0.04177551126142388]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[97,250,479,491,525,577,642,709,726,821,981],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2737897447076385,0.9649044900407532,-1.2386942347483916]}","{""vectorType"":""dense"",""length"":3,""values"":[0.31091615611967655,0.6205697618033783,0.06851408207694513]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[109,297],""values"":[1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.1944718344902993,0.3166533835093396,-0.5111252179996386]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3811305497273395,0.4306619810315538,0.18820746924110682]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[156,240,330,953,993,998],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.2794978103948664,-0.14416913676845367,0.42366694716332015]}","{""vectorType"":""dense"",""length"":3,""values"":[0.24009322145526407,0.2748858565144344,0.4850209220303014]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[30,164,182,195,210,263,462,590,736,780],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.8094246081698289,-0.43393308692444554,-1.3754915212453835]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8714723284996304,0.09246465078316611,0.03606302071720342]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[228,281,323,372,433,513,660,736,804,806,874,944,993],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.4749110738329079,-0.5621002168953467,-0.9128108569375613]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8181588251609938,0.10670256419272818,0.07513861064627787]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,330,378,425,506,575,828,863,982],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.532028605596912,0.11684787726287788,-1.64887648285979]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7785556213416333,0.1890969236580024,0.03234745500036437]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,466,661,680,685,736,927],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2792343805492183,-0.38327632713835225,-0.8959580534108664]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7673133775269511,0.14553033980779212,0.08715628266525685]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,63,558,560,603,653,661,693,714,732,773,794,802,807,812,997],""values"":[1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.996136923153209,-0.28587587951921956,-1.71026104363399]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8875915165229359,0.09060404243757796,0.02180444103948634]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[185,228,297,385,499,815,949,974,994],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.12399114746614534,0.11986713519006137,0.004124012276083333]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2930104674887498,0.37392925293769896,0.3330602795735512]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,222,304,330,389,519,537,566,763,825,834],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.5109012765507468,-0.02533816468821115,-1.485563111862535]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7904187215768971,0.1700892656199425,0.0394920128031603]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,62,65,224,591,683],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3258170404954471,-0.5758936096778648,0.25007656918241766]}","{""vectorType"":""dense"",""length"":3,""values"":[0.42864524208036225,0.17397628296273587,0.3973784749569017]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[411,560,704,958],""values"":[1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.01489694145261794,-0.20179051191111108,0.18689357045849303]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3341290710332944,0.2690345756033776,0.39683635336332784]}",2
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,142,152,172,223,234,246,404,506,684],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.032169305409397386,1.2833758527535342,-1.251206547344137]}","{""vectorType"":""dense"",""length"":3,""values"":[0.19911209321978987,0.742047388339629,0.05884051844058126]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[144,330,357,396,433,465,466,729,959,971],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.19256891985652502,0.9114819148377681,-0.7189129949812434]}","{""vectorType"":""dense"",""length"":3,""values"":[0.21705529855068068,0.6547169388495008,0.12822776259981836]}",1
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,944],""values"":[1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.2734342604475724,0.24627406539557803,0.027160195051994684]}","{""vectorType"":""dense"",""length"":3,""values"":[0.24800365770621388,0.41702735564519045,0.33496898664859576]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[92,160,306,330,387,518,724],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.39658052233317725,1.0486899752355194,-0.6521094529023417]}","{""vectorType"":""dense"",""length"":3,""values"":[0.16618179146107775,0.705109292762547,0.12870891577637533]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[215,330,477,510,571,613,626,708,817,928],""values"":[1,1,1,1,1,1,2,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.7726658407611808,-0.8713494772831615,-0.9013163634780188]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8771527388115588,0.06234389920123567,0.060503361987205566]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,104,182,296,363,426,502,639,693,773,779,886,897],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0989384072867942,0.35469713172423245,-0.4536355390110266]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3488078714024144,0.4504648201453046,0.20072730845228104]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,29,240,330,367,372,389,411,422,466,553,661,664,687,888,892],""values"":[1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5912055990008918,-0.9355567002071995,0.34435110120630846]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5003772242122928,0.10870088798027187,0.3909218878074353]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,892,940],""values"":[1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4862630464953061,0.009816570889902843,-0.4960796173852086]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5011478628096834,0.31120588950951295,0.1876462476808036]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,177,223,248,304,330,367,372,378,422,671,687,785],""values"":[1,1,1,1,1,2,1,2,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.23239888419518923,0.6539409592914839,-0.4215420750962939]}","{""vectorType"":""dense"",""length"":3,""values"":[0.23507834499529337,0.5703548351944857,0.194566819810221]}",1
